InstanceFile,MISType,Width,Height,Size,Capacity,Timeout,ConstructionTime,MISFindingTime,MISLength
random_nrc_10_110_pe_40.0%_po_70.0%_1.txt,ILP,10,110,1100,665,False,00:00:00.03,00:00:00.10,296
random_nrc_10_110_pe_40.0%_po_70.0%_2.txt,ILP,10,110,1100,664,False,00:00:00.03,00:00:00.11,307
random_nrc_10_110_pe_40.0%_po_70.0%_3.txt,ILP,10,110,1100,661,False,00:00:00.02,00:00:00.10,307
random_nrc_10_110_pe_40.0%_po_70.0%_4.txt,ILP,10,110,1100,692,False,00:00:00.03,00:00:00.10,309
random_nrc_10_110_pe_40.0%_po_70.0%_5.txt,ILP,10,110,1100,666,False,00:00:00.03,00:00:00.11,308
random_nrc_10_110_pe_40.0%_po_90.0%_1.txt,ILP,10,110,1100,673,False,00:00:00.02,00:00:00.11,310
random_nrc_10_110_pe_40.0%_po_90.0%_2.txt,ILP,10,110,1100,657,False,00:00:00.03,00:00:00.10,302
random_nrc_10_110_pe_40.0%_po_90.0%_3.txt,ILP,10,110,1100,690,False,00:00:00.03,00:00:00.12,313
random_nrc_10_110_pe_40.0%_po_90.0%_4.txt,ILP,10,110,1100,658,False,00:00:00.02,00:00:00.10,303
random_nrc_10_110_pe_40.0%_po_90.0%_5.txt,ILP,10,110,1100,688,False,00:00:00.03,00:00:00.10,313
random_nrc_10_110_pe_60.0%_po_30.0%_1.txt,ILP,10,110,1100,443,False,00:00:00.03,00:00:00.10,245
random_nrc_10_110_pe_60.0%_po_30.0%_2.txt,ILP,10,110,1100,454,False,00:00:00.02,00:00:00.09,247
random_nrc_10_110_pe_60.0%_po_30.0%_3.txt,ILP,10,110,1100,411,False,00:00:00.03,00:00:00.09,230
random_nrc_10_110_pe_60.0%_po_30.0%_4.txt,ILP,10,110,1100,447,False,00:00:00.03,00:00:00.10,246
random_nrc_10_110_pe_60.0%_po_30.0%_5.txt,ILP,10,110,1100,458,False,00:00:00.02,00:00:00.09,245
random_nrc_10_110_pe_60.0%_po_50.0%_1.txt,ILP,10,110,1100,422,False,00:00:00.03,00:00:00.09,236
random_nrc_10_110_pe_60.0%_po_50.0%_2.txt,ILP,10,110,1100,479,False,00:00:00.03,00:00:00.10,257
random_nrc_10_110_pe_60.0%_po_50.0%_3.txt,ILP,10,110,1100,434,False,00:00:00.02,00:00:00.09,238
random_nrc_10_110_pe_60.0%_po_50.0%_4.txt,ILP,10,110,1100,441,False,00:00:00.03,00:00:00.09,235
random_nrc_10_110_pe_60.0%_po_50.0%_5.txt,ILP,10,110,1100,422,False,00:00:00.03,00:00:00.10,236
random_nrc_10_110_pe_60.0%_po_70.0%_1.txt,ILP,10,110,1100,423,False,00:00:00.02,00:00:00.09,238
random_nrc_10_110_pe_60.0%_po_70.0%_2.txt,ILP,10,110,1100,441,False,00:00:00.03,00:00:00.09,247
random_nrc_10_110_pe_60.0%_po_70.0%_3.txt,ILP,10,110,1100,444,False,00:00:00.03,00:00:00.10,244
random_nrc_10_110_pe_60.0%_po_70.0%_4.txt,ILP,10,110,1100,452,False,00:00:00.02,00:00:00.09,241
random_nrc_10_110_pe_60.0%_po_70.0%_5.txt,ILP,10,110,1100,450,False,00:00:00.03,00:00:00.09,246
