InstanceFile,MISType,Width,Height,Size,Capacity,Timeout,ConstructionTime,MISFindingTime,MISLength
random_nrc_20_70_pe_40.0%_po_50.0%_5.txt,Greedy,20,70,1400,822,False,00:00:00.09,00:00:00.00,243
random_nrc_20_70_pe_40.0%_po_70.0%_1.txt,Greedy,20,70,1400,845,False,00:00:00.09,00:00:00.00,247
random_nrc_20_70_pe_40.0%_po_70.0%_2.txt,Greedy,20,70,1400,822,False,00:00:00.09,00:00:00.00,237
random_nrc_20_70_pe_40.0%_po_70.0%_3.txt,Greedy,20,70,1400,856,False,00:00:00.09,00:00:00.00,255
random_nrc_20_70_pe_40.0%_po_70.0%_4.txt,Greedy,20,70,1400,824,False,00:00:00.09,00:00:00.00,240
random_nrc_20_70_pe_40.0%_po_70.0%_5.txt,Greedy,20,70,1400,800,False,00:00:00.08,00:00:00.00,240
random_nrc_20_70_pe_40.0%_po_90.0%_1.txt,Greedy,20,70,1400,830,False,00:00:00.10,00:00:00.00,236
random_nrc_20_70_pe_40.0%_po_90.0%_2.txt,Greedy,20,70,1400,843,False,00:00:00.09,00:00:00.00,251
random_nrc_20_70_pe_40.0%_po_90.0%_3.txt,Greedy,20,70,1400,842,False,00:00:00.08,00:00:00.00,245
random_nrc_20_70_pe_40.0%_po_90.0%_4.txt,Greedy,20,70,1400,836,False,00:00:00.08,00:00:00.00,236
random_nrc_20_70_pe_40.0%_po_90.0%_5.txt,Greedy,20,70,1400,852,False,00:00:00.09,00:00:00.00,251
random_nrc_20_70_pe_60.0%_po_30.0%_1.txt,Greedy,20,70,1400,562,False,00:00:00.08,00:00:00.00,201
random_nrc_20_70_pe_60.0%_po_30.0%_2.txt,Greedy,20,70,1400,556,False,00:00:00.10,00:00:00.00,210
random_nrc_20_70_pe_60.0%_po_30.0%_3.txt,Greedy,20,70,1400,564,False,00:00:00.08,00:00:00.00,209
random_nrc_20_70_pe_60.0%_po_30.0%_4.txt,Greedy,20,70,1400,600,False,00:00:00.09,00:00:00.00,222
random_nrc_20_70_pe_60.0%_po_30.0%_5.txt,Greedy,20,70,1400,584,False,00:00:00.09,00:00:00.00,217
random_nrc_20_70_pe_60.0%_po_50.0%_1.txt,Greedy,20,70,1400,570,False,00:00:00.10,00:00:00.00,204
random_nrc_20_70_pe_60.0%_po_50.0%_2.txt,Greedy,20,70,1400,568,False,00:00:00.09,00:00:00.00,218
random_nrc_20_70_pe_60.0%_po_50.0%_3.txt,Greedy,20,70,1400,592,False,00:00:00.09,00:00:00.00,219
random_nrc_20_70_pe_60.0%_po_50.0%_4.txt,Greedy,20,70,1400,567,False,00:00:00.09,00:00:00.00,209
random_nrc_20_70_pe_60.0%_po_50.0%_5.txt,Greedy,20,70,1400,547,False,00:00:00.10,00:00:00.00,206
random_nrc_20_70_pe_60.0%_po_70.0%_1.txt,Greedy,20,70,1400,577,False,00:00:00.09,00:00:00.00,215
random_nrc_20_70_pe_60.0%_po_70.0%_2.txt,Greedy,20,70,1400,577,False,00:00:00.10,00:00:00.00,212
random_nrc_20_70_pe_60.0%_po_70.0%_3.txt,Greedy,20,70,1400,589,False,00:00:00.09,00:00:00.00,213
random_nrc_20_70_pe_60.0%_po_70.0%_4.txt,Greedy,20,70,1400,552,False,00:00:00.11,00:00:00.00,215
random_nrc_20_70_pe_60.0%_po_70.0%_5.txt,Greedy,20,70,1400,566,False,00:00:00.09,00:00:00.00,206
random_nrc_20_70_pe_60.0%_po_90.0%_1.txt,Greedy,20,70,1400,587,False,00:00:00.10,00:00:00.00,215
random_nrc_20_70_pe_60.0%_po_90.0%_2.txt,Greedy,20,70,1400,583,False,00:00:00.10,00:00:00.00,214
random_nrc_20_70_pe_60.0%_po_90.0%_3.txt,Greedy,20,70,1400,572,False,00:00:00.09,00:00:00.00,218
random_nrc_20_70_pe_60.0%_po_90.0%_4.txt,Greedy,20,70,1400,548,False,00:00:00.09,00:00:00.00,206
random_nrc_20_70_pe_60.0%_po_90.0%_5.txt,Greedy,20,70,1400,539,False,00:00:00.08,00:00:00.00,208
random_nrc_20_70_pe_80.0%_po_30.0%_1.txt,Greedy,20,70,1400,287,False,00:00:00.09,00:00:00.00,149
random_nrc_20_70_pe_80.0%_po_30.0%_2.txt,Greedy,20,70,1400,267,False,00:00:00.11,00:00:00.00,142
random_nrc_20_70_pe_80.0%_po_30.0%_3.txt,Greedy,20,70,1400,288,False,00:00:00.09,00:00:00.00,147
random_nrc_20_70_pe_80.0%_po_30.0%_4.txt,Greedy,20,70,1400,299,False,00:00:00.09,00:00:00.00,148
random_nrc_20_70_pe_80.0%_po_30.0%_5.txt,Greedy,20,70,1400,282,False,00:00:00.09,00:00:00.00,152
random_nrc_20_70_pe_80.0%_po_50.0%_1.txt,Greedy,20,70,1400,236,False,00:00:00.11,00:00:00.00,137
random_nrc_20_70_pe_80.0%_po_50.0%_2.txt,Greedy,20,70,1400,297,False,00:00:00.10,00:00:00.00,156
random_nrc_20_70_pe_80.0%_po_50.0%_3.txt,Greedy,20,70,1400,259,False,00:00:00.10,00:00:00.00,142
random_nrc_20_70_pe_80.0%_po_50.0%_4.txt,Greedy,20,70,1400,286,False,00:00:00.09,00:00:00.00,145
random_nrc_20_70_pe_80.0%_po_50.0%_5.txt,Greedy,20,70,1400,265,False,00:00:00.11,00:00:00.00,140
random_nrc_20_70_pe_80.0%_po_70.0%_1.txt,Greedy,20,70,1400,270,False,00:00:00.10,00:00:00.00,151
random_nrc_20_70_pe_80.0%_po_70.0%_2.txt,Greedy,20,70,1400,284,False,00:00:00.09,00:00:00.00,146
random_nrc_20_70_pe_80.0%_po_70.0%_3.txt,Greedy,20,70,1400,266,False,00:00:00.10,00:00:00.00,147
random_nrc_20_70_pe_80.0%_po_70.0%_4.txt,Greedy,20,70,1400,306,False,00:00:00.09,00:00:00.00,155
random_nrc_20_70_pe_80.0%_po_70.0%_5.txt,Greedy,20,70,1400,273,False,00:00:00.10,00:00:00.00,154
random_nrc_20_70_pe_80.0%_po_90.0%_1.txt,Greedy,20,70,1400,269,False,00:00:00.10,00:00:00.00,143
random_nrc_20_70_pe_80.0%_po_90.0%_2.txt,Greedy,20,70,1400,281,False,00:00:00.10,00:00:00.00,147
random_nrc_20_70_pe_80.0%_po_90.0%_3.txt,Greedy,20,70,1400,258,False,00:00:00.11,00:00:00.00,141
random_nrc_20_70_pe_80.0%_po_90.0%_4.txt,Greedy,20,70,1400,282,False,00:00:00.10,00:00:00.00,153
random_nrc_20_70_pe_80.0%_po_90.0%_5.txt,Greedy,20,70,1400,298,False,00:00:00.10,00:00:00.00,157
