InstanceFile,MISType,Width,Height,Size,Capacity,Timeout,ConstructionTime,MISFindingTime,MISLength
random_nrc_20_70_pe_40.0%_po_50.0%_5.txt,ILP,20,70,1400,822,False,00:00:00.09,00:00:00.20,266
random_nrc_20_70_pe_40.0%_po_70.0%_1.txt,ILP,20,70,1400,845,False,00:00:00.08,00:00:00.21,277
random_nrc_20_70_pe_40.0%_po_70.0%_2.txt,ILP,20,70,1400,822,False,00:00:00.09,00:00:00.21,268
random_nrc_20_70_pe_40.0%_po_70.0%_3.txt,ILP,20,70,1400,856,False,00:00:00.09,00:00:00.21,280
random_nrc_20_70_pe_40.0%_po_70.0%_4.txt,ILP,20,70,1400,824,False,00:00:00.10,00:00:00.22,265
random_nrc_20_70_pe_40.0%_po_70.0%_5.txt,ILP,20,70,1400,800,False,00:00:00.08,00:00:00.23,265
random_nrc_20_70_pe_40.0%_po_90.0%_1.txt,ILP,20,70,1400,830,False,00:00:00.08,00:00:00.22,264
random_nrc_20_70_pe_40.0%_po_90.0%_2.txt,ILP,20,70,1400,843,False,00:00:00.08,00:00:00.21,273
random_nrc_20_70_pe_40.0%_po_90.0%_3.txt,ILP,20,70,1400,842,False,00:00:00.08,00:00:00.22,271
random_nrc_20_70_pe_40.0%_po_90.0%_4.txt,ILP,20,70,1400,836,False,00:00:00.08,00:00:00.23,265
random_nrc_20_70_pe_40.0%_po_90.0%_5.txt,ILP,20,70,1400,852,False,00:00:00.08,00:00:00.23,271
random_nrc_20_70_pe_60.0%_po_30.0%_1.txt,ILP,20,70,1400,562,False,00:00:00.10,00:00:00.21,221
random_nrc_20_70_pe_60.0%_po_30.0%_2.txt,ILP,20,70,1400,556,False,00:00:00.08,00:00:00.21,224
random_nrc_20_70_pe_60.0%_po_30.0%_3.txt,ILP,20,70,1400,564,False,00:00:00.08,00:00:00.22,219
random_nrc_20_70_pe_60.0%_po_30.0%_4.txt,ILP,20,70,1400,600,False,00:00:00.09,00:00:00.19,234
random_nrc_20_70_pe_60.0%_po_30.0%_5.txt,ILP,20,70,1400,584,False,00:00:00.09,00:00:00.20,233
random_nrc_20_70_pe_60.0%_po_50.0%_1.txt,ILP,20,70,1400,570,False,00:00:00.09,00:00:00.18,222
random_nrc_20_70_pe_60.0%_po_50.0%_2.txt,ILP,20,70,1400,568,False,00:00:00.08,00:00:00.20,236
random_nrc_20_70_pe_60.0%_po_50.0%_3.txt,ILP,20,70,1400,592,False,00:00:00.07,00:00:00.19,230
random_nrc_20_70_pe_60.0%_po_50.0%_4.txt,ILP,20,70,1400,567,False,00:00:00.09,00:00:00.20,228
random_nrc_20_70_pe_60.0%_po_50.0%_5.txt,ILP,20,70,1400,547,False,00:00:00.09,00:00:00.20,216
random_nrc_20_70_pe_60.0%_po_70.0%_1.txt,ILP,20,70,1400,577,False,00:00:00.09,00:00:00.21,228
random_nrc_20_70_pe_60.0%_po_70.0%_2.txt,ILP,20,70,1400,577,False,00:00:00.09,00:00:00.20,227
random_nrc_20_70_pe_60.0%_po_70.0%_3.txt,ILP,20,70,1400,589,False,00:00:00.09,00:00:00.21,229
random_nrc_20_70_pe_60.0%_po_70.0%_4.txt,ILP,20,70,1400,552,False,00:00:00.09,00:00:00.20,228
random_nrc_20_70_pe_60.0%_po_70.0%_5.txt,ILP,20,70,1400,566,False,00:00:00.09,00:00:00.20,219
random_nrc_20_70_pe_60.0%_po_90.0%_1.txt,ILP,20,70,1400,587,False,00:00:00.08,00:00:00.20,228
random_nrc_20_70_pe_60.0%_po_90.0%_2.txt,ILP,20,70,1400,583,False,00:00:00.09,00:00:00.20,226
random_nrc_20_70_pe_60.0%_po_90.0%_3.txt,ILP,20,70,1400,572,False,00:00:00.08,00:00:00.21,227
random_nrc_20_70_pe_60.0%_po_90.0%_4.txt,ILP,20,70,1400,548,False,00:00:00.09,00:00:00.21,224
random_nrc_20_70_pe_60.0%_po_90.0%_5.txt,ILP,20,70,1400,539,False,00:00:00.07,00:00:00.19,224
random_nrc_20_70_pe_80.0%_po_30.0%_1.txt,ILP,20,70,1400,287,False,00:00:00.08,00:00:00.18,158
random_nrc_20_70_pe_80.0%_po_30.0%_2.txt,ILP,20,70,1400,267,False,00:00:00.09,00:00:00.20,147
random_nrc_20_70_pe_80.0%_po_30.0%_3.txt,ILP,20,70,1400,288,False,00:00:00.09,00:00:00.20,153
random_nrc_20_70_pe_80.0%_po_30.0%_4.txt,ILP,20,70,1400,299,False,00:00:00.09,00:00:00.20,154
random_nrc_20_70_pe_80.0%_po_30.0%_5.txt,ILP,20,70,1400,282,False,00:00:00.10,00:00:00.21,155
random_nrc_20_70_pe_80.0%_po_50.0%_1.txt,ILP,20,70,1400,236,False,00:00:00.08,00:00:00.19,140
random_nrc_20_70_pe_80.0%_po_50.0%_2.txt,ILP,20,70,1400,297,False,00:00:00.09,00:00:00.19,156
random_nrc_20_70_pe_80.0%_po_50.0%_3.txt,ILP,20,70,1400,259,False,00:00:00.09,00:00:00.19,151
random_nrc_20_70_pe_80.0%_po_50.0%_4.txt,ILP,20,70,1400,286,False,00:00:00.08,00:00:00.19,149
random_nrc_20_70_pe_80.0%_po_50.0%_5.txt,ILP,20,70,1400,265,False,00:00:00.08,00:00:00.20,145
random_nrc_20_70_pe_80.0%_po_70.0%_1.txt,ILP,20,70,1400,270,False,00:00:00.08,00:00:00.19,154
random_nrc_20_70_pe_80.0%_po_70.0%_2.txt,ILP,20,70,1400,284,False,00:00:00.10,00:00:00.18,150
random_nrc_20_70_pe_80.0%_po_70.0%_3.txt,ILP,20,70,1400,266,False,00:00:00.08,00:00:00.18,151
random_nrc_20_70_pe_80.0%_po_70.0%_4.txt,ILP,20,70,1400,306,False,00:00:00.07,00:00:00.19,156
random_nrc_20_70_pe_80.0%_po_70.0%_5.txt,ILP,20,70,1400,273,False,00:00:00.09,00:00:00.19,156
random_nrc_20_70_pe_80.0%_po_90.0%_1.txt,ILP,20,70,1400,269,False,00:00:00.09,00:00:00.19,151
random_nrc_20_70_pe_80.0%_po_90.0%_2.txt,ILP,20,70,1400,281,False,00:00:00.09,00:00:00.19,151
random_nrc_20_70_pe_80.0%_po_90.0%_3.txt,ILP,20,70,1400,258,False,00:00:00.09,00:00:00.19,142
random_nrc_20_70_pe_80.0%_po_90.0%_4.txt,ILP,20,70,1400,282,False,00:00:00.09,00:00:00.19,155
random_nrc_20_70_pe_80.0%_po_90.0%_5.txt,ILP,20,70,1400,298,False,00:00:00.09,00:00:00.20,160
